"Part";"Value";"Device";"Package";"Description"
"DATA_TO_ADDR1:HI_ADDR:IC1";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"DATA_TO_ADDR1:HI_ADDR:IC2";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"DATA_TO_ADDR1:HI_ADDR:IC3";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"DATA_TO_ADDR1:IC1";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"DATA_TO_ADDR1:IC2";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"DATA_TO_ADDR1:LO_ADDR:IC1";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"DATA_TO_ADDR1:LO_ADDR:IC2";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"DATA_TO_ADDR1:LO_ADDR:IC3";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"JP1";"";"PINHD-1X1";"1X01";"PIN HEADER"
"JP2";"";"PINHD-1X1";"1X01";"PIN HEADER"
"JP3";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER"
"JP4";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER"
"JP5";"";"PINHD-1X1";"1X01";"PIN HEADER"
"MEMORY_ADDRESS_REGISTOR1:IC1";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"MEMORY_ADDRESS_REGISTOR1:IC2";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"MEMORY_ADDRESS_REGISTOR1:IC3";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"MEMORY_ADDRESS_REGISTOR1:IC4";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"RAM1:IC1";"CY62256LL-PC";"CY62256LL-PC";"DIL28-6";"256K (32K x 8) CMOS-Static RAM"
"RAM1:IC2";"74LS86N";"74LS86N";"DIL14";"Quad 2-input EXCLUSIVE-OR (XOR) gate"
"RAM1:IC3";"7432N";"7432N";"DIL14";"Quad 2-input OR gate"
"RAM1:IC4";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"RAM1:R1";"";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol"
"RAM1:R2";"";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol"
"RAM1:S1";"";"DIP02YL";"DIP02YL";"DIL/CODE SWITCH"
"ROM1:IC2";"74LS86N";"74LS86N";"DIL14";"Quad 2-input EXCLUSIVE-OR (XOR) gate"
"ROM1:IC3";"7432N";"7432N";"DIL14";"Quad 2-input OR gate"
"ROM1:IC4";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"ROM1:R1";"";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol"
"ROM1:R2";"";"R-EU_0207/7";"0207/7";"RESISTOR, European symbol"
"ROM1:S1";"";"DIP02YL";"DIP02YL";"DIL/CODE SWITCH"
"ROM1:U$1";"AT28C256-28DIP";"AT28C256-28DIP";"DIL28-6";"IC EEPROM 256KBIT 150NS 28DIP"
