"Part";"Value";"Device";"Package";"Description"
"ALU2:IC1";"74LS283N";"74LS283N";"DIL16";"4-bit binary FULL ADDER, fast carry"
"ALU2:IC2";"74LS283N";"74LS283N";"DIL16";"4-bit binary FULL ADDER, fast carry"
"ALU2:IC3";"74LS86N";"74LS86N";"DIL14";"Quad 2-input EXCLUSIVE-OR (XOR) gate"
"ALU2:IC4";"74LS86N";"74LS86N";"DIL14";"Quad 2-input EXCLUSIVE-OR (XOR) gate"
"ALU2:IC5";"74LS08N";"74LS08N";"DIL14";"Quad 2-input AND gate"
"ALU2:IC6";"74LS08N";"74LS08N";"DIL14";"Quad 2-input AND gate"
"ALU2:IC7";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"ALU2:IC8";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"ALU2:IC9";"74LS04N";"74LS04N";"DIL14";"Hex INVERTER"
"ALU2:IC10";"74LS08N";"74LS08N";"DIL14";"Quad 2-input AND gate"
"ALU2:IC11";"74LS32N";"74LS32N";"DIL14";"Quad 2-input OR gate"
"ALU2:IC12";"74LS32N";"74LS32N";"DIL14";"Quad 2-input OR gate"
"ALU2:IC13";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"ALU2:IC14";"74LS86N";"74LS86N";"DIL14";"Quad 2-input EXCLUSIVE-OR (XOR) gate"
"ALU2:IC15";"74LS86N";"74LS86N";"DIL14";"Quad 2-input EXCLUSIVE-OR (XOR) gate"
"ALU2:IC16";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"ALU2:IC17";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"ALU2:IC18";"74LS02N";"74LS02N";"DIL14";"Quad 2-input NOR gate"
"ALU2:IC19";"74LS11N";"74LS11N";"DIL14";"Triple 3-input AND gate"
"A_REGISTER1:IC1";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"A_REGISTER1:IC2";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"A_REGISTER1:IC3";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"B_REGISTER1:IC1";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"B_REGISTER1:IC2";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"B_REGISTER1:IC3";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"JP1";"";"PINHD-1X8/90";"1X08/90";"PIN HEADER"
"JP2";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER"
"JP3";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER"
"JP4";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER"
