"Part";"Value";"Device";"Package";"Description"
"C_REGISTER:IC1";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"C_REGISTER:IC2";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"C_REGISTER:IC3";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"D_REGISTER:IC1";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"D_REGISTER:IC2";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"D_REGISTER:IC3";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"E_REGISTER:IC1";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"E_REGISTER:IC2";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"E_REGISTER:IC3";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"H_REGISTER:IC1";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"H_REGISTER:IC2";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"H_REGISTER:IC3";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"IC1";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"IC2";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
"JP1";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER"
"JP2";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER"
"JP3";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER"
"JP4";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER"
"JP5";"";"PINHD-1X2/90";"1X02/90";"PIN HEADER"
"JP6";"";"PINHD-1X1";"1X01";"PIN HEADER"
"L_REGISTER:IC1";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"L_REGISTER:IC2";"74LS173N";"74LS173N";"DIL16";"4-bit D type REGISTER, 3-state"
"L_REGISTER:IC3";"74LS245N";"74LS245N";"DIL20";"Octal BUS TRANSCEIVER, 3-state"
